day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
9.12토,17:00,LG 트윈스,대구,2,1,1,6,0,0,0,21.4,0,1,110,86,1007.7,23.8
9.13일,14:00,한화 이글스,대전,6,0,2,6,0,0,0,26.1,0,1.2,360,58,1006.5,35.2
9.13일,14:00,kt wiz,대전,12,0,0,11,2,0,1,26.1,0,1.2,360,58,1006.5,35.2
9.13일,14:00,KIA 타이거즈,광주,10,0,0,5,1,1,1,20.4,0.6,0.7,70,99,1006.6,25.5
9.13일,14:00,NC 다이노스,광주,8,0,3,6,0,2,0,20.4,0.6,0.7,70,99,1006.6,25.5
9.13일,14:00,롯데 자이언츠,부산,5,0,0,1,2,0,0,20.9,0,2.6,110,78,1006.6,23.9
9.13일,14:00,SK 와이번스,부산,4,2,1,5,1,0,1,20.9,0,2.6,110,78,1006.6,23.9
9.13일,14:00,두산 베어스,서울,15,0,0,7,0,0,0,25.1,0,1.6,270,55,1004.6,28.7
9.13일,14:00,키움 히어로즈,서울,13,0,2,15,0,2,0,25.1,0,1.6,270,55,1004.6,28.7
9.13일,14:00,삼성 라이온즈,대구,18,1,2,5,0,0,1,25.4,0,1.3,360,53,1008,33
9.13일,14:00,LG 트윈스,대구,4,0,0,10,0,1,0,25.4,0,1.3,360,53,1008,33
9.15화,19:00,LG 트윈스,서울,8,1,3,14,0,0,0,24.3,0,1.9,270,71,1000.9,22.7
9.15화,19:00,한화 이글스,서울,11,0,0,10,2,2,1,24.3,0,1.9,270,71,1000.9,22.7
9.15화,19:00,롯데 자이언츠,부산,10,1,0,3,2,1,1,22.6,0,2.1,70,77,1004.4,25.3
9.15화,19:00,키움 히어로즈,부산,11,0,0,7,1,0,0,22.6,0,2.1,70,77,1004.4,25.3
9.15화,19:00,NC 다이노스,창원,6,0,2,5,0,1,0,22.5,0,2.4,180,76,1008.2,22.4
9.15화,19:00,두산 베어스,창원,8,0,0,3,0,1,1,22.5,0,2.4,180,76,1008.2,22.4
9.15화,19:00,SK 와이번스,인천,17,2,3,5,3,0,1,22.9,0,1.7,360,81,1002.9,22.7
9.15화,19:00,KIA 타이거즈,인천,5,0,0,4,3,3,0,22.9,0,1.7,360,81,1002.9,22.7
9.15화,19:00,삼성 라이온즈,대구,14,1,0,1,2,2,1,24.3,0,2.8,140,67,1005.6,24.8
9.15화,19:00,kt wiz,대구,8,0,0,11,1,1,0,24.3,0,2.8,140,67,1005.6,24.8
9.16수,19:00,LG 트윈스,서울,15,0,0,5,2,0,1,22.4,0,2.7,230,81,998.6,22
9.16수,19:00,한화 이글스,서울,9,2,0,11,1,1,0,22.4,0,2.7,230,81,998.6,22
