일시,da,day_text,time_text,team_text,지점명,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,kt wiz,수원,11,2,0,7,0,0,승
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,롯데 자이언츠,부산,7,0,0,7,1,0,패
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,NC 다이노스,창원,7,0,1,8,3,0,패
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,SK 와이번스,인천,9,2,0,7,1,0,승
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,두산 베어스,서울,10,2,0,6,1,0,승
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,KIA 타이거즈,광주,6,0,0,4,0,0,패
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,삼성 라이온즈,대구,23,1,1,3,2,1,승
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,한화 이글스,대전,0,0,0,13,0,0,패
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,키움 히어로즈,서울,8,0,1,4,1,2,패
2019-04-21 14:00,2019-04-21,2021-04-21,14:00,LG 트윈스,서울,7,0,1,6,0,1,승
2019-04-23 19:00,2019-04-23,2021-04-23,19:00,KIA 타이거즈,광주,3,0,0,6,1,0,패
2019-04-23 19:00,2019-04-23,2021-04-23,19:00,LG 트윈스,서울,9,1,2,3,1,0,승
2019-04-23 19:00,2019-04-23,2021-04-23,19:00,NC 다이노스,창원,9,0,0,2,1,0,승
2019-04-23 19:00,2019-04-23,2021-04-23,19:00,kt wiz,수원,8,0,1,6,0,2,패
2019-04-23 19:00,2019-04-23,2021-04-23,19:00,두산 베어스,서울,13,1,0,6,0,0,승
2019-04-23 19:00,2019-04-23,2021-04-23,19:00,키움 히어로즈,서울,8,0,1,5,0,0,패
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,KIA 타이거즈,광주,6,0,1,9,1,2,패
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,LG 트윈스,서울,14,0,0,4,2,0,승
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,롯데 자이언츠,부산,12,0,0,10,3,3,패
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,한화 이글스,대전,9,1,0,8,3,0,승
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,NC 다이노스,창원,12,3,0,5,0,1,승
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,kt wiz,수원,6,0,0,5,3,3,패
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,두산 베어스,서울,6,1,0,6,1,0,패
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,키움 히어로즈,서울,13,1,1,6,1,0,승
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,SK 와이번스,인천,12,3,1,6,2,2,승
2019-04-24 19:00,2019-04-24,2021-04-24,19:00,삼성 라이온즈,대구,16,0,2,12,1,0,패
2019-04-25 19:00,2019-04-25,2021-04-25,19:00,두산 베어스,서울,11,2,0,6,1,1,패
2019-04-25 19:00,2019-04-25,2021-04-25,19:00,키움 히어로즈,서울,16,1,0,5,0,1,승
2019-04-25 19:00,2019-04-25,2021-04-25,19:00,SK 와이번스,인천,8,0,2,11,0,1,승
2019-04-25 19:00,2019-04-25,2021-04-25,19:00,삼성 라이온즈,대구,12,0,2,11,0,1,패
2019-04-26 19:00,2019-04-26,2021-04-26,19:00,KIA 타이거즈,광주,14,0,0,6,1,2,패
2019-04-26 19:00,2019-04-26,2021-04-26,19:00,키움 히어로즈,서울,8,0,0,8,0,0,승
2019-04-26 19:00,2019-04-26,2021-04-26,19:00,롯데 자이언츠,부산,8,0,0,7,1,2,패
2019-04-26 19:00,2019-04-26,2021-04-26,19:00,두산 베어스,서울,12,0,1,11,0,2,승
2019-04-26 19:00,2019-04-26,2021-04-26,19:00,SK 와이번스,인천,6,0,2,3,1,0,승
2019-04-26 19:00,2019-04-26,2021-04-26,19:00,kt wiz,수원,5,0,0,7,1,1,패
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,한화 이글스,대전,4,0,0,7,2,1,패
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,NC 다이노스,창원,22,2,1,8,0,1,승
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,KIA 타이거즈,광주,9,0,0,7,1,0,승
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,키움 히어로즈,서울,8,2,1,8,0,2,패
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,LG 트윈스,서울,12,2,0,8,0,0,승
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,삼성 라이온즈,대구,7,0,1,5,1,1,패
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,롯데 자이언츠,부산,5,0,0,6,0,0,패
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,두산 베어스,서울,10,0,1,13,1,0,승
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,SK 와이번스,인천,4,2,0,10,0,0,승
2019-04-27 17:00,2019-04-27,2021-04-27,17:00,kt wiz,수원,8,0,0,9,0,0,패
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,한화 이글스,대전,9,2,0,11,0,1,패
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,NC 다이노스,창원,11,2,1,9,1,0,승
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,KIA 타이거즈,광주,14,0,3,7,0,1,패
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,키움 히어로즈,서울,16,1,0,5,1,1,승
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,LG 트윈스,서울,6,1,1,7,2,0,승
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,삼성 라이온즈,대구,6,0,0,11,0,0,패
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,롯데 자이언츠,부산,7,0,0,2,1,1,패
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,두산 베어스,서울,10,3,1,6,0,0,승
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,SK 와이번스,인천,9,0,0,6,0,0,승
2019-04-28 14:00,2019-04-28,2021-04-28,14:00,kt wiz,수원,5,0,0,9,1,0,패
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,kt wiz,수원,15,3,1,5,0,1,패
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,LG 트윈스,서울,19,2,2,4,3,1,승
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,NC 다이노스,창원,4,0,1,10,1,1,패
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,롯데 자이언츠,부산,9,1,0,6,1,0,승
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,두산 베어스,서울,7,0,1,5,2,0,패
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,한화 이글스,대전,5,1,1,5,1,1,승
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,삼성 라이온즈,대구,6,0,0,6,0,2,패
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,KIA 타이거즈,광주,9,1,0,7,0,1,승
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,키움 히어로즈,서울,23,3,0,6,0,0,승
2019-04-30 19:00,2019-04-30,2021-04-30,19:00,SK 와이번스,인천,8,1,1,6,0,0,패
,,,,,,,,,,,,
,,team_text,번호,,,,,,,,,
,,NC 다이노스,1,,,,,,,,,
,,두산 베어스,2,,,,,,,,,
,,kt wiz,3,,,,,,,,,
,,LG 트윈스,4,,,,,,,,,
,,키움 히어로즈,5,,,,,,,,,
,,KIA 타이거즈,6,,,,,,,,,
,,롯데 자이언츠,7,,,,,,,,,
,,삼성 라이온즈,8,,,,,,,,,
,,SK 와이번스,9,,,,,,,,,
,,한화 이글스,10,,,,,,,,,
