day_text,,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,,,,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
5.22목,5.2,삼성 라이온즈,9,2,1,6,1,2,승,1,대구,,,,,,,,108,서울,8.28,28.8,,53
5.22목,5.2,SK 와이번스,9,0,0,14,0,1,승,0,창원,,,,,,,,108,서울,8.29,27.3,0,62
5.22목,5.2,NC 다이노스,8,0,2,4,2,0,패,1,창원,,,,,,,,108,서울,8.30,27.3,,69
5.23금,5.2,한화 이글스,12,1,0,3,1,1,패,0,서울,,,,,,,,108,서울,8.31,26.7,,57
5.23금,5.2,두산 베어스,11,1,1,9,0,0,승,1,서울,,,,,,,,108,서울,9.1,26.7,,65
5.23금,5.2,KIA 타이거즈,6,0,0,7,1,0,패,0,부산,,,,,,,,108,서울,9.2,25,,65
5.23금,5.2,롯데 자이언츠,3,0,0,8,0,0,승,1,부산,,,,,,,,108,서울,9.3,20.4,,100
5.23금,5.2,LG 트윈스,12,1,1,8,0,1,승,0,인천,,,,,,,,108,서울,9.4,24.8,,66
5.23금,5.2,SK 와이번스,8,1,2,10,1,2,패,1,인천,,,,,,,,108,서울,9.5,25.9,,65
5.23금,5.2,키움 히어로즈,6,1,1,5,0,0,패,0,대구,,,,,,,,108,서울,9.6,29.1,,54
5.23금,5.2,삼성 라이온즈,11,2,1,5,0,1,승,1,대구,,,,,,,,108,서울,9.7,27.7,,63
5.24토,5.2,한화 이글스,15,0,2,6,0,1,승,0,서울,,,,,,,,108,서울,9.8,27.3,,54
5.24토,5.2,두산 베어스,14,0,0,5,1,2,패,1,서울,,,,,,,,108,서울,9.9,24.6,,44
5.24토,5.2,KIA 타이거즈,12,1,0,3,0,2,승,0,부산,,,,,,,,108,서울,9.10,26.5,,42
5.24토,5.2,롯데 자이언츠,2,0,0,7,0,1,패,1,부산,,,,,,,,108,서울,9.11,26.7,,49
5.24토,5.2,LG 트윈스,7,2,1,11,2,0,패,0,인천,,,,,,,,108,서울,9.12,21.2,0.1,84
5.24토,5.2,SK 와이번스,8,3,2,5,0,0,승,1,인천,,,,,,,,108,서울,9.13,27,,45
