day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
9.23월,삼성 라이온즈,5,1,1,5,0,0,1,대구,26,0,45,,,,
9.24화,삼성 라이온즈,11,2,1,4,1,0,1,인천,21.5,0,98,,,,
9.25수,삼성 라이온즈,11,1,0,11,1,0,1,인천,20.3,0,49,,,,
9.26목,삼성 라이온즈,7,2,0,6,1,0,0,인천,20,0,50,,,,
9.27금,삼성 라이온즈,8,0,2,5,0,2,0,대구,23.9,0,27,,,,
9.29일,삼성 라이온즈,9,1,0,6,0,0,0,서울,19,0,83,,,,
9.30월,삼성 라이온즈,13,4,0,5,2,0,1,대전,23,0,86,,,,
10.1화,삼성 라이온즈,14,0,0,3,2,1,1,대전,24.3,0,74,,,,
10.2수,삼성 라이온즈,13,0,1,3,0,3,1,부산,23.1,0,61,,,,
10.3목,삼성 라이온즈,11,3,1,10,0,0,0,부산,20.7,0,54,,,,
10.24목,삼성 라이온즈,6,1,1,9,2,0,0,대구,19.5,0,49,,,,
10.25금,삼성 라이온즈,7,0,2,8,0,2,0,대구,15.2,0,32,,,,
10.27일,삼성 라이온즈,7,0,1,3,3,0,1,서울,14.4,0,46,,,,
10.28월,삼성 라이온즈,4,0,1,12,0,1,0,서울,14.5,0,56,,,,
4.1화,삼성 라이온즈,10,2,0,6,0,0,1,대전,21.4,0,25,,,,
4.2수,삼성 라이온즈,10,1,2,2,1,2,0,대전,22.1,0,29,,,,
4.4금,삼성 라이온즈,8,0,0,5,2,0,0,부산,11.2,0,46,,,,
4.5토,삼성 라이온즈,11,1,0,6,0,0,0,부산,12.2,0,49,,,,
4.6일,삼성 라이온즈,10,2,0,9,1,0,1,부산,11.7,0,46,,,,
4.11금,삼성 라이온즈,7,0,2,9,0,1,0,대구,15.7,0,45,,,,
4.12토,삼성 라이온즈,11,1,0,6,0,0,0,대구,15.7,0,58,,,,
4.13일,삼성 라이온즈,15,0,6,3,0,0,1,대구,16.8,0,32,,,,
4.15화,삼성 라이온즈,3,1,0,5,1,2,0,대구,25,0,27,,,,
