day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
8.7수,LG 트윈스,16,4,2,5,0,0,1,창원,31.1,0,72,,,,,,,,,
8.8목,LG 트윈스,13,0,0,5,2,0,0,서울,31.8,0,64,,,,,,,,,
8.9금,LG 트윈스,10,0,2,2,1,0,1,서울,30.1,0,78,,,,,,,,,
8.10토,LG 트윈스,6,1,3,6,0,1,1,서울,29.1,0,72,,,,,,,,,
8.11일,LG 트윈스,8,0,2,10,0,0,1,서울,32.2,0,55,,,,,,,,,
8.13화,LG 트윈스,18,3,2,7,0,2,1,대구,34.4,0,46,,,,,,,,,
8.14수,LG 트윈스,6,0,2,7,2,1,0,대구,34.7,0,39,,,,,,,,,
8.15목,LG 트윈스,9,0,1,4,0,2,1,서울,31.2,0,61,,,,,,,,,
8.16금,LG 트윈스,4,0,1,4,1,0,0,서울,30.7,0,61,,,,,,,,,
8.17토,LG 트윈스,10,0,2,9,0,0,1,광주,32.2,0,52,,,,,,,,,
8.18일,LG 트윈스,7,0,1,9,2,1,0,광주,31.8,0,57,,,,,,,,,
8.20화,LG 트윈스,11,0,0,9,1,1,1,서울,30.8,0,49,,,,,,,,,
8.21수,LG 트윈스,14,0,1,5,3,0,0,서울,32.1,0,43,,,,,,,,,
8.22목,LG 트윈스,7,0,1,8,1,0,0,인천,29.8,0,67,,,,,,,,,
8.23금,LG 트윈스,12,0,1,6,2,0,1,인천,25.7,0,97,,,,,,,,,
8.27화,LG 트윈스,7,0,0,7,2,1,0,서울,27.8,0,55,,,,,,,,,
8.28수,LG 트윈스,5,0,0,7,0,0,0,서울,28.8,0,51,,,,,,,,,
8.31토,LG 트윈스,12,1,2,6,1,0,1,부산,24,0,62,,,,,,,,,
9.1일,LG 트윈스,11,1,1,8,2,0,1,부산,26.1,0,55,,,,,,,,,
9.3화,LG 트윈스,10,0,1,12,1,0,0,서울,25.5,0,29,,,,,,,,,
9.4수,LG 트윈스,6,0,1,8,1,1,1,서울,26,0,35,,,,,,,,,
9.5목,LG 트윈스,4,0,1,7,1,1,0,대전,22.6,0,73,,,,,,,,,
9.6금,LG 트윈스,11,0,1,7,0,0,1,대전,18.7,0,93,,,,,,,,,
9.7토,LG 트윈스,9,0,2,8,1,0,0,서울,25.8,0,44,,,,,,,,,
9.8일,LG 트윈스,9,1,1,4,0,0,1,서울,26.1,0,42,,,,,,,,,
9.12목,LG 트윈스,11,0,0,2,0,0,1,서울,25.3,0,70,,,,,,,,,
9.13금,LG 트윈스,11,1,0,6,0,0,1,서울,24.7,0,82,,,,,,,,,
9.14토,LG 트윈스,6,0,0,2,2,2,1,서울,24.6,0,70,,,,,,,,,
9.15일,LG 트윈스,6,0,0,6,1,0,0,서울,26.2,0,29,,,,,,,,,
9.17화,LG 트윈스,12,0,1,4,1,0,1,인천,25,0,81,,,,,,,,,
9.18수,LG 트윈스,10,1,1,7,2,1,1,인천,26.7,0,69,,,,,,,,,
9.19목,LG 트윈스,6,1,0,13,0,0,0,인천,24.8,0,78,,,,,,,,,
9.20금,LG 트윈스,7,0,1,9,0,0,0,서울,25.2,0,62,,,,,,,,,
9.22일,LG 트윈스,12,1,2,5,0,0,1,창원,24.1,0,60,,,,,,,,,
9.25수,LG 트윈스,5,0,0,6,0,1,0,대전,20.7,0,70,,,,,,,,,
9.28토,LG 트윈스,5,0,0,7,1,0,0,서울,18.5,0.1,79,,,,,,,,,
9.29일,LG 트윈스,13,0,3,9,0,2,1,서울,19,0,83,,,,,,,,,
9.30월,LG 트윈스,11,0,0,5,4,1,0,서울,23.4,0,68,,,,,,,,,
10.1화,LG 트윈스,7,0,3,7,0,1,0,부산,22.9,0,62,,,,,,,,,
10.2수,LG 트윈스,13,0,1,3,0,2,0,서울,20.3,0,36,,,,,,,,,
10.3목,LG 트윈스,5,0,0,2,1,0,1,서울,18.5,0,51,,,,,,,,,
10.5토,LG 트윈스,9,0,2,4,0,0,1,서울,26.3,0,35,,,,,,,,,
10.16수,LG 트윈스,4,1,1,4,2,2,0,서울,14.1,0,42,,,,,,,,,
10.17목,LG 트윈스,10,0,0,4,0,0,1,서울,15.7,0,41,,,,,,,,,
10.19토,LG 트윈스,12,0,4,2,0,4,0,서울,17.2,0,56,,,,,,,,,
10.20일,LG 트윈스,8,0,0,6,0,2,0,서울,18.6,0,58,,,,,,,,,
4.1화,LG 트윈스,10,2,2,9,2,2,0,서울,19.2,0,25,,,,,,,,,
4.2수,LG 트윈스,11,0,4,3,0,0,1,서울,18.7,0,21,,,,,,,,,
4.3목,LG 트윈스,10,2,0,8,1,2,0,서울,10.1,0,61,,,,,,,,,
4.9수,LG 트윈스,9,1,0,5,2,0,1,부산,15.5,0,63,,,,,,,,,
4.10목,LG 트윈스,9,1,0,7,2,0,0,부산,13.1,0,47,,,,,,,,,
4.11금,LG 트윈스,15,0,2,8,2,1,0,서울,15.7,0,67,,,,,,,,,
4.12토,LG 트윈스,6,0,0,4,3,2,0,서울,15.6,0,64,,,,,,,,,
4.13일,LG 트윈스,12,0,2,4,2,2,0,서울,19.7,0,48,,,,,,,,,
4.15화,LG 트윈스,6,1,2,8,0,0,0,서울,15.7,0,71,,,,,,,,,
4.16수,LG 트윈스,8,0,0,7,1,0,0,서울,18.6,0,63,,,,,,,,,
4.18금,LG 트윈스,12,0,0,7,1,1,1,대전,20.1,0,57,,,,,,,,,
4.19토,LG 트윈스,12,0,0,6,2,0,0,대전,16.2,0,50,,,,,,,,,
4.20일,LG 트윈스,15,3,0,5,1,0,0,대전,20.3,0,43,,,,,,,,,
4.22화,LG 트윈스,7,0,0,6,1,0,0,대구,20.7,0,26,,,,,,,,,
4.23수,LG 트윈스,9,0,1,6,1,0,0,대구,24.5,0,12,,,,,,,,,
4.24목,LG 트윈스,9,3,1,6,0,1,0,대구,24.3,0,16,,,,,,,,,
4.25금,LG 트윈스,10,0,1,4,3,0,1,서울,23.1,0,22,,,,,,,,,
4.26토,LG 트윈스,7,0,1,6,1,0,0,서울,20.6,0,35,,,,,,,,,
4.27일,LG 트윈스,9,0,0,4,1,1,1,서울,16.9,0,70,,,,,,,,,
4.29화,LG 트윈스,5,0,1,11,0,0,0,창원,16.4,0,79,,,,,,,,,
4.30수,LG 트윈스,10,1,0,6,0,1,1,창원,14.7,0,82,,,,,,,,,
5.1목,LG 트윈스,8,1,2,5,1,4,0,창원,20.2,0,58,,,,,,,,,
5.3토,LG 트윈스,7,1,0,5,0,1,0,서울,17.1,0,43,,,,,,,,,
5.4일,LG 트윈스,15,0,1,5,0,1,1,서울,12.3,0.1,75,,,,,,,,,
5.5월,LG 트윈스,8,0,0,4,1,0,0,서울,13.2,0,42,,,,,,,,,
5.6화,LG 트윈스,15,0,1,7,0,2,1,서울,16.7,0,29,,,,,,,,,
