day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.7,kt wiz,7,0,1,7,1,1,1,수원,17.1,0,61,,,,,,,,,
4.8,kt wiz,3,0,0,5,0,0,1,수원,11.7,0,77,,,,,,,,,
4.9,kt wiz,7,0,0,4,1,0,1,수원,15.3,0,48,,,,,,,,,
4.11,kt wiz,8,0,1,5,0,0,0,서울,18.7,0,37,,,,,,,,,
4.12,kt wiz,8,0,1,7,2,4,0,서울,12.4,0,15,,,,,,,,,
4.13,kt wiz,13,1,2,2,1,3,1,서울,15.9,0,53,,,,,,,,,
4.14,kt wiz,9,1,0,8,2,1,0,서울,13.3,0,71,,,,,,,,,
4.15,kt wiz,3,0,2,6,0,0,1,서울,20.7,0,42,,,,,,,,,
4.16,kt wiz,14,1,0,8,1,1,0,서울,22.3,0,36,,,,,,,,,
4.18,kt wiz,7,0,0,6,1,2,0,수원,10.8,0,99,,,,,,,,,
4.19,kt wiz,10,0,0,5,1,0,1,수원,14.5,0,35,,,,,,,,,
4.2,kt wiz,6,2,0,14,0,0,0,수원,15.2,0,43,,,,,,,,,
