day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
8.21금,18:30,롯데 자이언츠,11,2,0,6,0,0,승
8.21금,18:30,kt wiz,5,2,0,6,0,1,패
8.21금,18:30,한화 이글스,15,4,0,6,0,0,승
8.21금,18:30,NC 다이노스,15,2,1,8,0,0,승
8.21금,18:30,삼성 라이온즈,12,0,0,8,0,0,패
8.21금,18:30,두산 베어스,6,1,0,4,1,1,승
8.21금,18:30,LG 트윈스,7,0,1,13,1,0,패
8.21금,18:30,SK 와이번스,10,2,1,1,0,0,승
8.21금,18:30,키움 히어로즈,8,3,0,8,0,1,패
8.22토,18:00,한화 이글스,10,0,0,4,0,0,승
8.22토,18:00,KIA 타이거즈,5,0,0,10,0,0,패
8.22토,18:00,롯데 자이언츠,11,2,0,11,1,0,패
8.22토,18:00,삼성 라이온즈,18,1,0,3,1,1,승
8.22토,18:00,NC 다이노스,8,1,1,6,1,0,승
8.22토,18:00,SK 와이번스,4,0,0,9,0,1,패
8.22토,18:00,두산 베어스,6,1,1,8,1,0,패
8.22토,18:00,kt wiz,9,1,0,6,1,0,승
8.22토,18:00,키움 히어로즈,9,0,0,4,2,1,패
8.22토,18:00,LG 트윈스,10,0,2,7,0,1,승
8.23일,18:00,한화 이글스,7,1,1,6,0,2,패
8.23일,18:00,KIA 타이거즈,11,2,1,5,0,0,승
8.23일,18:00,롯데 자이언츠,19,3,0,11,1,0,승
8.23일,18:00,삼성 라이온즈,7,0,0,10,2,2,패
8.23일,18:00,NC 다이노스,8,1,1,7,4,0,승
8.23일,18:00,SK 와이번스,4,0,1,10,2,1,패
8.23일,18:00,두산 베어스,14,1,0,4,0,0,승
8.23일,18:00,kt wiz,12,2,0,11,2,0,패
8.23일,18:00,키움 히어로즈,11,1,3,8,0,2,패
8.23일,18:00,LG 트윈스,13,1,2,7,1,1,승
8.25화,18:30,KIA 타이거즈,5,0,0,13,1,0,승
8.25화,18:30,SK 와이번스,6,0,2,8,0,0,패
8.26수,18:30,KIA 타이거즈,8,1,2,10,0,1,패
8.26수,18:30,SK 와이번스,7,2,0,8,2,0,승
8.26수,18:30,kt wiz,6,0,0,6,0,0,패
8.26수,18:30,키움 히어로즈,13,2,1,4,2,0,승
8.26수,18:30,LG 트윈스,10,1,2,10,1,1,승
8.26수,18:30,NC 다이노스,6,0,3,7,2,1,패
8.26수,18:30,롯데 자이언츠,11,1,1,9,0,0,패
8.26수,18:30,두산 베어스,9,1,1,6,0,0,승
8.26수,18:30,삼성 라이온즈,13,1,3,9,1,2,패
8.26수,18:30,한화 이글스,16,4,1,17,1,1,승
8.27목,18:30,한화 이글스,4,0,0,7,1,0,패
8.27목,18:30,NC 다이노스,5,0,2,12,0,0,승
8.27목,18:30,KIA 타이거즈,6,0,2,10,2,0,패
