day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,team_location,기온(°C),강수량(mm),습도(%),,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
4.3,한화,7,0,0,7,0,4,패,대전,,,,,,,112,인천,4.23,15,,42
,,,,,,,,,,,,,,,,112,인천,4.24,18.4,,41
team_text,번호,,,,,,,,,,,,,,,112,인천,4.25,18.7,,32
NC,1,,,,,,,,,,,,,,,112,인천,4.26,23.9,,51
두산,2,,,,,,,,,,,,,,,112,인천,4.27,19.8,,39
KT,3,,,,,,,,,,,,,,,112,인천,4.28,16.3,,57
LG,4,,,,,,,,,,,,,,,112,인천,4.29,14.9,,88
키움,5,,,,,,,,,,,,,,,112,인천,4.30,16.2,,61
KIA,6,,,,,,,,,,,,,,,112,인천,5.1,18.8,,63
롯데,7,,,,,,,,,,,,,,,112,인천,5.2,19.1,0,98
삼성,8,,,,,,,,,,,,,,,112,인천,5.3,10.2,,96
SK,9,,,,,,,,,,,,,,,112,인천,5.4,17.3,,46
한화,10,,,,,,,,,,,,,,,112,인천,5.5,21.7,,38
,,,,,,,,,,,,,,,,112,인천,5.6,12.7,0,98
,,,,,,,,,,,,,,,,112,인천,5.7,19,,62
,,,,,,,,,,,,,,,,112,인천,5.8,19.8,,57
,,,,,,,,,,,,,,,,112,인천,5.9,17.9,,76
,,,,,,,,,,,,,,,,112,인천,5.10,15.2,,98
,,,,,,,,,,,,,,,,112,인천,5.11,17.6,,69
,,,,,,,,,,,,,,,,112,인천,5.12,18.5,,86
,,,,,,,,,,,,,,,,112,인천,5.13,21.9,,47
,,,,,,,,,,,,,,,,112,인천,5.14,20.6,,51
,,,,,,,,,,,,,,,,112,인천,5.15,14.3,5.7,98
,,,,,,,,,,,,,,,,112,인천,5.16,16.5,,68
,,,,,,,,,,,,,,,,112,인천,5.17,21.9,,47
,,,,,,,,,,,,,,,,112,인천,5.18,25.7,,40
,,,,,,,,,,,,,,,,112,인천,5.19,26.7,,35
,,,,,,,,,,,,,,,,112,인천,5.20,25.3,,48
,,,,,,,,,,,,,,,,112,인천,5.21,27.2,,31
,,,,,,,,,,,,,,,,112,인천,5.22,26.2,,40
,,,,,,,,,,,,,,,,112,인천,5.23,20.6,,63
,,,,,,,,,,,,,,,,112,인천,5.24,16.1,,98
,,,,,,,,,,,,,,,,112,인천,5.25,21,,87
,,,,,,,,,,,,,,,,112,인천,5.26,19,,98
,,,,,,,,,,,,,,,,112,인천,5.27,21.9,,71
,,,,,,,,,,,,,,,,112,인천,5.28,23,,50
,,,,,,,,,,,,,,,,112,인천,5.29,22.8,,58
,,,,,,,,,,,,,,,,112,인천,5.30,23.1,,74
,,,,,,,,,,,,,,,,112,인천,5.31,21.6,,92
,,,,,,,,,,,,,,,,112,인천,6.1,26.3,,50
,,,,,,,,,,,,,,,,112,인천,6.2,23.6,,76
,,,,,,,,,,,,,,,,112,인천,6.3,22.2,,69
,,,,,,,,,,,,,,,,112,인천,6.4,20.7,,90
,,,,,,,,,,,,,,,,112,인천,6.5,26.5,,51
,,,,,,,,,,,,,,,,112,인천,6.6,21.3,,85
,,,,,,,,,,,,,,,,112,인천,6.7,21.5,,88
,,,,,,,,,,,,,,,,112,인천,6.8,21.6,,98
,,,,,,,,,,,,,,,,112,인천,6.9,26.1,,67
,,,,,,,,,,,,,,,,112,인천,6.10,22.5,,98
,,,,,,,,,,,,,,,,112,인천,6.11,23.2,,98
,,,,,,,,,,,,,,,,112,인천,6.12,23,,98
,,,,,,,,,,,,,,,,112,인천,6.13,23.8,,89
,,,,,,,,,,,,,,,,112,인천,6.14,22.5,,89
,,,,,,,,,,,,,,,,112,인천,6.15,20.4,0.1,98
,,,,,,,,,,,,,,,,112,인천,6.16,21,,98
,,,,,,,,,,,,,,,,112,인천,6.17,24.3,,85
,,,,,,,,,,,,,,,,112,인천,6.18,24.3,,84
,,,,,,,,,,,,,,,,112,인천,6.19,25.3,,87
,,,,,,,,,,,,,,,,112,인천,6.20,25.9,,82
,,,,,,,,,,,,,,,,112,인천,6.21,25.7,,82
,,,,,,,,,,,,,,,,112,인천,6.22,24,0,98
,,,,,,,,,,,,,,,,112,인천,6.23,23.3,,98
,,,,,,,,,,,,,,,,112,인천,6.24,24.8,,81
,,,,,,,,,,,,,,,,112,인천,6.25,24.6,,78
,,,,,,,,,,,,,,,,112,인천,6.26,24.6,,89
,,,,,,,,,,,,,,,,112,인천,6.27,26.8,,54
,,,,,,,,,,,,,,,,112,인천,6.28,25.9,,69
,,,,,,,,,,,,,,,,112,인천,6.29,24.1,,98
,,,,,,,,,,,,,,,,112,인천,6.30,23,,98
,,,,,,,,,,,,,,,,112,인천,7.1,23.3,4.4,98
,,,,,,,,,,,,,,,,112,인천,7.2,24.4,,98
,,,,,,,,,,,,,,,,112,인천,7.3,24.7,,89
,,,,,,,,,,,,,,,,112,인천,7.4,22,1.8,98
,,,,,,,,,,,,,,,,112,인천,7.5,22.1,0,98
,,,,,,,,,,,,,,,,112,인천,7.6,23.8,,94
,,,,,,,,,,,,,,,,112,인천,7.7,26.2,,75
,,,,,,,,,,,,,,,,112,인천,7.8,29.5,,78
,,,,,,,,,,,,,,,,112,인천,7.9,28,,77
,,,,,,,,,,,,,,,,112,인천,7.10,28.6,,80
,,,,,,,,,,,,,,,,112,인천,7.11,28.9,,81
