day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
7.17수,키움 히어로즈,13,3,0,7,0,1,0,인천,23.6,0,99,,,,,,,,,
7.23화,키움 히어로즈,11,3,0,7,0,2,1,서울,26.2,0,88,,,,,,,,,
7.24수,키움 히어로즈,10,1,1,6,0,0,1,서울,26.6,0,58,,,,,,,,,
7.25목,키움 히어로즈,6,2,1,7,0,1,0,서울,29.4,0,51,,,,,,,,,
7.26금,키움 히어로즈,11,0,0,6,1,2,0,대구,32.8,0,38,,,,,,,,,
7.27토,키움 히어로즈,11,2,1,6,0,0,0,대구,31.7,0,40,,,,,,,,,
7.28일,키움 히어로즈,13,1,3,8,0,1,1,대구,29,0,74,,,,,,,,,
7.30화,키움 히어로즈,7,1,0,5,2,0,0,서울,26.8,0,70,,,,,,,,,
7.31수,키움 히어로즈,8,2,0,8,1,0,1,서울,26.8,0,72,,,,,,,,,
8.1목,키움 히어로즈,7,1,0,6,0,1,1,서울,31.5,0,57,,,,,,,,,
8.2금,키움 히어로즈,12,0,5,11,0,4,1,광주,30.1,0,69,,,,,,,,,
8.4일,키움 히어로즈,3,0,1,11,0,0,0,광주,30.3,0,68,,,,,,,,,
8.6화,키움 히어로즈,4,0,2,6,0,1,0,서울,27.3,0,68,,,,,,,,,
8.7수,키움 히어로즈,12,1,0,4,2,0,0,서울,31.9,0,65,,,,,,,,,
8.8목,키움 히어로즈,7,1,1,5,1,1,0,서울,31.8,0,64,,,,,,,,,
8.10토,키움 히어로즈,12,2,1,4,1,1,1,서울,29.1,0,72,,,,,,,,,
8.11일,키움 히어로즈,8,2,0,6,1,1,0,서울,32.2,0,55,,,,,,,,,
8.15목,키움 히어로즈,12,4,1,11,0,0,1,부산,29.2,0,57,,,,,,,,,
8.16금,키움 히어로즈,10,1,0,9,0,0,0,부산,30.8,0,53,,,,,,,,,
8.17토,키움 히어로즈,9,0,0,4,3,0,0,대구,34.6,0,33,,,,,,,,,
8.18일,키움 히어로즈,10,1,1,6,1,0,1,대구,35.7,0,35,,,,,,,,,
8.20화,키움 히어로즈,8,1,0,11,1,1,0,서울,30.8,0,49,,,,,,,,,
8.21수,키움 히어로즈,10,2,2,4,0,2,1,서울,32.1,0,43,,,,,,,,,
8.22목,키움 히어로즈,11,1,0,6,2,1,1,서울,31.8,0,54,,,,,,,,,
