day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.23목,19:00,LG 트윈스,대전,12,0,2,4,0,1,승,17.7,,4.9,180,23,1011.3,15.7
4.23목,19:00,롯데 자이언츠,부산,10,2,2,1,2,0,패,17.2,,4.3,250,38,1011.5,15.1
4.23목,19:00,KIA 타이거즈,부산,14,1,0,11,2,0,승,17.2,,4.3,250,38,1011.5,15.1
4.23목,19:00,두산 베어스,서울,9,2,1,5,1,0,승,16.8,,4.6,250,25,1008.4,13.5
4.23목,19:00,키움 히어로즈,서울,9,0,0,10,0,1,패,16.8,,4.6,250,25,1008.4,13.5
4.23목,19:00,SK 와이번스,인천,7,0,1,7,1,1,승,14.1,,2.1,230,55,1010.2,12.1
4.23목,19:00,kt wiz,인천,7,1,1,8,1,2,패,14.1,,2.1,230,55,1010.2,12.1
4.23목,19:00,삼성 라이온즈,대구,15,1,2,7,0,1,승,21.7,,1.5,290,26,1011.4,18.7
4.23목,19:00,NC 다이노스,대구,9,0,0,5,1,0,패,21.7,,1.5,290,26,1011.4,18.7
4.24금,19:00,KIA 타이거즈,광주,6,0,0,9,1,1,패,19,,1.3,290,46,1010.1,16.4
4.24금,19:00,두산 베어스,광주,12,0,0,7,0,2,승,19,,1.3,290,46,1010.1,16.4
4.24금,19:00,LG 트윈스,서울,7,1,0,6,0,3,패,16.8,,3.6,290,26,1008.4,14.9
4.24금,19:00,NC 다이노스,서울,13,3,1,5,1,1,승,16.8,,3.6,290,26,1008.4,14.9
4.24금,19:00,키움 히어로즈,서울,12,3,1,8,1,1,승,16.8,,3.6,290,26,1008.4,14.9
4.24금,19:00,kt wiz,서울,7,0,1,11,0,3,패,16.8,,3.6,290,26,1008.4,14.9
4.24금,19:00,SK 와이번스,인천,6,0,0,11,1,0,패,14.5,,3.3,290,48,1010.6,12
4.24금,19:00,한화 이글스,인천,7,1,0,4,1,1,승,14.5,,3.3,290,48,1010.6,12
4.24금,19:00,삼성 라이온즈,대구,6,1,1,9,2,0,패,22.9,,2.2,290,19,1009.1,18.8
4.24금,19:00,롯데 자이언츠,대구,8,2,0,10,0,1,승,22.9,,2.2,290,19,1009.1,18.8
